Number,Institution1,Institution2,IntitutionType1,IntitutionType2,Role,same_inst_collab
197208,ETHZ,ETHZ,ETH Domain,ETH Domain,Applicant,1
197208,ETHZ,ETHZ,ETH Domain,ETH Domain,Co-applicants,1
177474,ETHZ,International,ETH Domain,NA,Co-applicants,0
177474,ETHZ,ETHZ,ETH Domain,ETH Domain,Applicant,1
177474,ETHZ,International,ETH Domain,NA,Co-applicants,0
177474,ETHZ,ETHZ,ETH Domain,ETH Domain,Co-applicants,1
177474,ETHZ,International,ETH Domain,NA,Co-applicants,0
177474,ETHZ,ETHZ,ETH Domain,ETH Domain,Co-applicants,1
177474,ETHZ,International,ETH Domain,NA,Co-applicants,0
177474,ETHZ,International,ETH Domain,NA,Co-applicants,0
177474,ETHZ,ETHZ,ETH Domain,ETH Domain,Co-applicants,1
180170,EPFL,International,ETH Domain,NA,Co-applicants,0
180170,EPFL,EPFL,ETH Domain,ETH Domain,Applicant,1
180170,EPFL,International,ETH Domain,NA,Co-applicants,0
180170,EPFL,International,ETH Domain,NA,Co-applicants,0
180170,EPFL,International,ETH Domain,NA,Co-applicants,0
192218,PSI,PSI,ETH Domain,ETH Domain,Applicant,1
192218,PSI,ETHZ,ETH Domain,ETH Domain,Co-applicants,0
188637,GE,GE,Cantonal university,Cantonal university,Applicant,1
188637,GE,GE,Cantonal university,Cantonal university,Co-applicants,1
182972,EPFL,International,ETH Domain,NA,Co-applicants,0
182972,EPFL,EPFL,ETH Domain,ETH Domain,Applicant,1
182972,EPFL,International,ETH Domain,NA,Co-applicants,0
182967,SUPSI,SUPSI,UAS,University of applied sciences,Applicant,1
182967,SUPSI,EPFL,UAS,ETH Domain,Co-applicants,0
172929,EPFL,International,ETH Domain,NA,Co-applicants,0
172929,EPFL,International,ETH Domain,NA,Co-applicants,0
172929,EPFL,EPFL,ETH Domain,ETH Domain,Applicant,1
192191,EMPA,International,ETH Domain,NA,Co-applicants,0
192191,EMPA,EMPA,ETH Domain,ETH Domain,Applicant,1
203670,WSL,WSL,ETH Domain,ETH Domain,Applicant,1
