Number,sdg_result,FundingInstrumentGaReporting,CallDecisionYear,ResearchInstitutionType,MainDiscipline,MainDisciplineLevel2,FundingInstrumentGaLevel1,AmountGranted,IsApproved,Title,Keywords,Abstract,n_applicants,is_collaborative,is_collaborative_cat,n_disciplines,is_interdisciplinary,is_interdisciplinary_cat,disc1,disc2,disc3,disc5,disc6,disc4
174471,07,Fellowships,2017,Other,Material Sciences,Engineering Sciences,Careers,109200,TRUE,Investigating the Optoelectronic Properties of New and Efficient Materials for Their Application in Light Emitting and Light Harnessing Devices,Solar Energy; Solar cells; Light emitting devices; Lead-free perovskites; Semiconductors; Light absorber; Light emitter; Renewable Energy,"The mean global energy consumption rate is expected to reach 28 TW in 2050. To meet these demands, mankind is highly dependent on burning fossils and petroleum, which release greenhouse gases leading to global warming. Therefore, it has become crucial to find alternative renewable energy sources. Arguably, the sun is one of the greenest yet abundant sources of energy as the solar energy that earth receives in a day is more than sufficient to meet our energy consumption demands for an entire year. Alternatively, the energy consumption rate can be decreased by developing efficient light emitting devices, as the common use of white light emitting devices can save approx. 40% of electrical energy in 2030, and will also control the emission of > 100 million tons of CO2. However, the fabrication of commercial solar cells and lighting devices demands expensive deposition approaches. I propose to investigate new light absorbers and light emitters, which are benign in nature and exhibit immunity towards ambient conditions. The proposed trivalent metal based perovskites exhibiting enticing photostability and optoelectronic properties will be processed using facile, scalable, and economic solution-based bottom-up approaches. Based on the detailed structural, compositional, morphological, and spectroscopic analyses, the best strategies and desired compositions will be used for the fabrication of efficient solar cells and light emitting devices. We strongly believe that the solar cells and light emitting devices based on these materials will have a significant prospect for the practical applications and large-scale fabrication.; Solar Energy; Solar cells; Light emitting devices; Lead-free perovskites; Semiconductors; Light absorber; Light emitter; Renewable Energy",1,0,Non-collaborative,2,1,More than one discipline,20500,20300,NA,NA,NA,NA
181437,07,Fellowships,2018,Other,Material Sciences,Engineering Sciences,Careers,82800,TRUE,In situ Dynamic Covalent Functionalization of Cellulose Nanocrystals via Sustainable Melt Processing,hot-melt processing; dynamic; hindered urea; Cellulose nanocrystals; renewable sources,"Ecological aspects such as plastic pollution or global warming are significant current societal concerns. These global issues have considerably pushed the development of green technologies and led to an exponential interest in bio-based materials from renewable natural sources. Cellulose (the most abundant organic polymer on the planet) is a chemical raw material which has been used for thousands of years, but it is only in the last few decades that nanocellulose (nano-sized cellulose particles isolated directly from the biomass) has been investigated for applications in biopolymer composites with improved mechanical properties. The combination of the excellent mechanical properties of nanocellulose with natural abundance, low production cost, and biodegradability makes cellulose-based nanocomposites an attractive and promising green approach to cope with the environmental concerns of society. If nanocellulose is going to make an impact in the composites world then simple, cost-effective melt processing techniques need to be developed. This project proposes a green and cheap functionalization of the surface hydroxyl group of cellulose nanocrystals (CNCs) using dynamic covalent chemistry under melt processing conditions. The concept involves melt processing of the CNCs with a dynamic polymer matrix, which during thermal processing releases reactive functional moieties that react with the hydroxyl motifs on the CNC surface. For example, bulky urea functional groups are known to cleave into a secondary amine and isocyanate moiety at elevated temperatures (the temperature required depends on the steric hindrance of the secondary amine), the latter can subsequently functionalize the CNCs. Such functionalization of the CNC with the polymers will allow direct access to homogenous composite materials with a better mechanical property profile. This proposal is built in three consecutive parts; I) preliminary fundamental investigations on temperature-induced functionalization of CNCs with mono-functional hindered urea molecule or polymers, II) study and development of an in situ CNC functionalization in a hot-melt process with renewable polyurethanes, III) extension of the temperature-induced CNC functionalization approach to other dynamic bonds. Along the study, rigorous surface characterizations of the grafted CNCs will provide a deep understanding on the dynamic process and establish key parameters for an efficient functionalization under the melt processing. These factors will then allow the development of efficient engineering processes to achieve an optimal reinforcement effect. In addition, the processing improvement will demonstrate the potential for a large-scale production that can be accomplished using this strategy. This facile, low cost and industrially scalable green approach will drastically contribute to the development of biodegradable composite materials from renewable sources with advanced performance and functionalities.; hot-melt processing; dynamic; hindered urea; Cellulose nanocrystals; renewable sources",1,0,Non-collaborative,2,1,More than one discipline,20500,20300,NA,NA,NA,NA
174939,07,Fellowships,2017,Other,Political science,"Sociology, social work, political sciences, media and communication studies, health",Careers,91855,TRUE,How Stakeholders Influence Citizen Preferences on Energy Policy: The Roles of Issue Framing and Source Cues,Environmental Decision Making; Energy Policy; Citizen Preferences; Source Cue Effects; Issue Framing; Political Communication,"There is a huge gap between the implications of climate science and efforts to transform today’s energy systems. One reason for inertia is that those bearing the costs of energy system change-e.g., actors representing incumbent fossil fuel interests-employ a wide range of strategies to countervail or water down measures aimed at fostering change. Whereas stakeholders’ organizational activities to shape public opinion are relatively well documented and understood, little systematic knowledge has accrued so far on the extent to which stakeholders’ communication efforts do actually influence citizens' preferences. With this proposal, I suggest to investigate citizens' preferences related to energy policies and how they are influenced by stakeholders’ communication activities. Drawing from Behavioral (Political) Science and Cognitive Psychology, the research questions focus on the effectiveness of both framing effects and source cue effects. Frames, as the formulation of decision problems, have been shown to be an important preference-shaping factor, but research has just started to take real-world scenarios of competitive framing into account, and little is known about the dynamics of framing effects in relation to energy policy. Source cues, as the political actors behind an issue, can be seen as powerful heuristics enabling voters to make decisions with marginal efforts. To date, little is known about the extent to which stakeholders (such as organized interests) matter as source cues, and whether source cues are as important as frames in shaping preferences. Moreover, this project inquires into the role of voters’ ideological predispositions and their political competence in explaining preference formation.Methodologically, preference formation will be examined with a mix of observational data based on panel studies and experiments. For my stay at Princeton University, I propose to conduct two experiments, both of which focus on intended vote choice on a hypothetical policy as the dependent variable. Study 1, a lab experiment (n = 350), investigates the interplay of frames and source cues over time. Study 2, a survey experiment with an embedded choice-based conjoint task (n = 1`000, recruitment with MTurk), assesses the role of gain and loss frames, counterframes, and citizens’ preferences for specific design features of energy policies.In terms of the concrete field of application, the planned project for my stay in Princeton will be the first that systematically examines citizens’ preferences towards policies for a phase out of fossil fuels for electricity generation. It thus responds to the need outlined by climate scientists and international climate policy negotiators to assess the prospects for phasing out these traditional technologies.The project will derive implications for the literature on (environmental) decision making as well as the policy literature and policy practitioners. A better understanding of the factors that shape preferences about energy policies is quintessential to enable a democratically steered transition towards sustainable energy systems, and the findings are expected to yield insights into the question how societies can manage the transition towards more sustainable energy systems. The scientific dialogue and cooperation with my supervisor Prof. Elke Weber and other researchers at the Andlinger Center for Energy and the Environment at Princeton University will allow me to keep abreast of the newest insights from research on environmental decision making. Integrating these insights into my research project will help me to further improve the theoretical basis and relevance of my research project and to increase the chances of publication of the research findings in a high-quality scientific journal.; Environmental Decision Making; Energy Policy; Citizen Preferences; Source Cue Effects; Issue Framing; Political Communication",1,0,Non-collaborative,2,1,More than one discipline,10600,10500,NA,NA,NA,NA
179921,07,Ambizione,2018,ETH Domain,Electrical Engineering,Engineering Sciences,Careers,592578,TRUE,Energy Efficient Cryptography,Low Energy; Lightweight Cryptography,"In the past few years, lightweight cryptography has become a popular research discipline with a number of ciphers and hash functions proposed. The optimization goal of low energy for cryptographic designs has been addressed in a relatively small number of papers. Energy is a crucial measure of goodness for an algorithm. Indeed, any construction optimized with respect to energy has wide applications, especially in constrained environments running on a tight power/energy budget. In this project, we intend to address this gap that has existed in literature for some time now. There is a dearth of symmetric key cryptographic primitives catered specifically towards low energy consumption. The only encryption solution catered to address the question of low energy was the block cipher Midori. This leaves open a vast spectrum of cryptographic primitives where energy efficient solutions have not been explored by the community as of yet. The main goal of this project is to research this unexplored design space. The main objectives of the project are twofold: 1 Explore energy efficient implementations of existing standardized primitives like AES-128, SHA-3.2 Study techniques to design dedicated primitives for the following cryptographic tasks:  a) Encryption,   b) Message Authentication,  c) Hash function, and  d) Authenticated Encryption system.  Stream ciphers can prove to be excellent tools for constructing low energy designs. It has been found out that for encrypting long data streams, stream cipher like Trivium consumes around 9 times less energy than the best block cipher based encryption schemes. Trivium consists of a 3 part shift register with a simple boolean function based round update. This structure offers numerous benefits with respect to power consumption, and is easy to modify to obtain larger throughput i.e. number of output bytes produced per clock cycle. Thus, using such structures to design the primitives listed above is expected to result in lower energy consumption. The importance of low energy solutions to cryptographic schemes is hard to overestimate. It is expected that over 50 billion devices will be connected into an Internet of Things by 2020. With billions of small, battery powered devices generating a large part of data traffic, energy becomes a critical parameter for optimization. The upcoming NIST Profiles for the Lightweight Cryptography Standardization Process  specifies energy as one of the key parameters that need to be optimized. As a result the work done in this project is expected to have a wide ranging impact on cryptography of the future. There is sufficient demand in the industry for low energy cryptographic designs and such ciphers will be extremely useful in applications like medical implants and passive RFID tags that run on low energy budget. ; Low Energy; Lightweight Cryptography",1,0,Non-collaborative,2,1,More than one discipline,20500,20100,NA,NA,NA,NA
175197,07,Bridge - Proof of Concept,2017,Cantonal university,Other disciplines of Physics,Physics,Programmes,120005,TRUE,Enhancing the capabilities of artificial muscle implants using low-voltage dielectric elastomer sensors,Dielectric elastomer sensor; Human machine interface; Smart medical device; Compliant metal/elastomer nanostructures; Nanometer-thin polymer films; Digitalized patient doctor interaction,"Dielectric elastomer transducers (DET) exhibit a strain-stress behavior comparable to human tissues. During my PhD thesis I have demonstrated DE actuators based on elastomer layers several hundred nanometers thin generating 6 % strain applying voltages as low as 12 V. However, to build artificial muscles thousands of nanostructures have to be stacked realizing the force comparable to natural muscles. Therefore, this Bridge-application will focus on the sensing capability of DETs. Currently available force and pressure sensors for medical applications fail to mimic the skin’s natural capabilities of force detecting due to rigidity and lack of biomimetic elastic properties. Geometrical restrictions limit their adaption to the given medical device. Moreover, the interplay of the electronic properties often lead either to low sensitivity, restricted response time or high power consumption. Robust and flexible sensors based on dielectric elastomer transducers (DETs) are operated at voltages below 1 V and offer the possibility for static/dynamic pressure sensing. Fabricated on soft polymer substrates they can be directly attached to the skin or implant surface for real-time monitoring with millisecond time response of diverse human physiological signals and body motions for wearable healthcare and patient rehabilitation. The capacitive sensor is based on multi-layered elastomer and metal films. Our unique thin-film technology reliably enables the fabrication of sub-micrometer thin elastomer and electrode films. When external pressures are applied, the induced deformation of the dielectric layer causes a change of capacitance. Sensitivities above 10 kPa-1 are adjusted to the physiological pressures of interest (Pa to MPa) by multilayered specifically tailored nanostructures. The high resting capacitance of hundreds of pF/cm2 enables simplified micro-electronics. Combined with the overall thickness below 100µm our dielectric elastomer sensors (DES) implies no geometrical restrictions to medical devices/implants. It’s low energy consumption below 1 nW combined with self-healing capabilities will enable long-term stable sensing solutions. In addition, sensor pads with spatial resolution of one sensor per mm2 can be cut individually by the customer or even surgeons adapted to the required individual shape of the patients implant. ; Dielectric elastomer sensor; Human machine interface; Smart medical device; Compliant metal/elastomer nanostructures; Nanometer-thin polymer films; Digitalized patient doctor interaction",1,0,Non-collaborative,4,1,More than one discipline,20400,20500,20300,30100,NA,NA
180170,07,Bilateral programmes,2018,ETH Domain,Condensed Matter Physics,Physics,Programmes,249418,TRUE,Development of new hydrogen storage alloys for utilization of renewable energy and construction of the design guidelines aimed at practical use,Hydride; Magnesium; pseudo-Laves phase compounds ; Stability; Reactivity,"The goal of this project is to develop new magnesium (Mg) based intermetallic compounds for hydrogen storage, which have greater gravimetric and volumetric hydrogen storage densities than a transition metal hydrogen storage alloy e.g. LaNi5 (1.4 mass% and 92 kgH2/m3) and a hydrogen absorption desorption reaction at practical operative conditions (<100°C and several >0.1MPa of gas pressures) for hydrogen as a renewable energy carrier. In addition, we will elucidate hydrogen absorption and desorption mechanism and suggest design guidelines aimed at practical hydrogen storage alloys.To accomplish the goal, we have assembled internationally recognized scientists with fundamental and practical research expertise and experience in collaboration between Japan and Switzerland. In this project, we focus on Mg based alloys with a Laves phase structure (we here refer to Mg based pseudo-Laves phase compounds) because 1) Mg is an abundant, cheap and a low density element and absorbs hydrogen with high gravimetric and volumetric hydrogen densities (7.7 mass% and 109 kgH2/m3); and 2) Laves phase compounds exhibit hydrogen absorption and desorption reaction, of which temperature and pressure conditions can be adjusted by compositions of the compounds. The Mg based pseudo-Laves phase compounds will be synthesized in Japan. The hydrogen absorption and desorption properties will be investigated in Japan (isotherms) and Switzerland (isotherm and in-situ XRD) . Then, a Laves phase compound LaMg2 will be initially focused as basis of Mg based pseudo-Laves phase compounds because LaMg2 is one of the few Mg based Laves phase and absorb hydrogen (3.4 mass % and 120 kgH2/m3) at 100°C). Adjusting compositions of LaMg2 by addition of a third element such as transition and non-transition metals, the hydrogen absorption and desorption reactions conditions will be improved to reach =100°C and >0.1 MPa of hydrogen gas pressures. Mg based pseudo-Laves phase compounds and the hydrides will be characterized for their surface and crystal structures  by X-ray Photoelectron Spectroscopy (XPS) and High Pressure and High Temperature powder X-ray (HPHT-XRD) and Neutron Diffraction (ND) for elucidation of hydrogen absorption and desorption reaction mechanism. Furthermore, we will examine cycling of hydrogen absorption and desorption reactions on Mg based pseudo-Laves phase in Japan and the cycled samples will be characterized by XPS, HPHT-XRD, synchrotron powder X-ray diffraction (SR-XRD) and ND in Switzerland. Combining Japanese and Swiss results, we will finally suggest design guidelines for Mg based pseudo-Laves phase compounds aimed at practical hydrogen storage alloys for utilization of renewable energy.; Hydride; Magnesium; pseudo-Laves phase compounds ; Stability; Reactivity",5,1,Collaborative,2,1,More than one discipline,20400,20300,NA,NA,NA,NA
176653,07,Bridge - Discovery,2017,ETH Domain,Material Sciences,Engineering Sciences,Programmes,648960,TRUE,Functionalized Separators Enabling a Break-Through of Redox Flow Batteries for Stationary Energy Storage,Redox flow battery; Cycling stability; Vanadium redox flow battery; Polymer electrolyte; Energy efficiency; Energy storage,"Energy storage on the grid-scale is gaining importance in the context of the use of an increasing share of “new” renewables, such as solar and wind power, for electricity generation. The energy storage market is expected to grow significantly over the next decade, and with it the prospects for battery technologies in these stationary applications to complement existing pumped hydroelectric energy storage and power-to-gas / power-to-X concepts in storage applications on the 1-100 MW scale. Redox flow batteries, which comprise an electrochemical converter and an external tank to store the electrolytes containing redox-active species, are particularly attractive for stationary energy storage owing to the independent scalability of energy and power, their safe operation, long cycle-life and deep discharge capability. Vanadium redox flow batteries (VRB) use vanadium-ions in different oxidation states as redox-active species in the two electrolytes, thus irreversible contamination of electrolytes by cross-mixing is avoided. In the current state of the art, the ion exchange membrane used as polymer electrolyte in the cell stack is responsible for about half of the hardware cost of a VRB system. This project aims at implementing a new membrane technology with significantly lower cost and improved performance compared to the perfluorinated membranes widely used today. This will, on the one hand, considerably reduce investment costs for VRB systems. On the other hand, a combination of lower ohmic resistance, lower vanadium crossover and cycling stability leads to superior efficiency of energy storage. The new membrane technology is based on current and ongoing developments at PSI based on the functionalization of pre-existing low-cost polymer films and porous substrates. PSI membranes with sulfonic acid and vanadium barrier motifs have shown superior energy efficiency and cycling stability compared to perfluorinated membranes at low to medium current density. Currently, new membrane architectures with a composite design are adopted to extend the operational regime to higher current densities of >150 mA·cm-2. The membrane design principles are of a generic nature and may lend themselves to adapting membrane materials to other types of redox flow cells. In the project, most promising membrane materials will be determined and developed into prototype membranes with technology readiness level (TRL) 4-5 to enable evaluation in relevant technical stack hardware at external partners. On the one hand, scale-up of membrane preparation will be done in-house at PSI, on the other hand options for off-site membrane fabrication, e.g. via sub-contracting, will be evaluated. The project roadmap envisions different routes for industrial implementation of the membrane technology, which are not mutually exclusive. The preferred option to enable such industrial implementation is the partnership with the German research institutes Bayrisches Zentrum für Angewandte Energieforschung (ZAE), TU München (TUM), and the Karlsruher Institut für Technologie (KIT),. A pre-proposal for a joint project has been submitted to the Bundesministerium für Wirtschaft und Energie (BMWi) in Germany, and this Bridge Discovery project is intended to fund the Swiss activities on membrane development in the framework of this overarching collaborative project. Contacts to other academic partners and industry may open up further opportunities for collaboration and implementation, e.g. via licensing of PSI membrane technology.  ; Redox flow battery; Cycling stability; Vanadium redox flow battery; Polymer electrolyte; Energy efficiency; Energy storage",1,0,Non-collaborative,2,1,More than one discipline,20500,20300,NA,NA,NA,NA
188588,07,Project funding,2019,ETH Domain,Condensed Matter Physics,Physics,Projects,361075,TRUE,Proton conductivity in epitaxial strained thin films,solid state electrochemistry; proton conductor; membrane; polaron; epitaxial strain; solid electrolyte,"Ceramic proton conductors can be used as solid electrolytes in intermediate temperature (around 350°C - 550°C) solid oxide fuel cells and electrolyzers (SOFC, SOEC). Their ionic conductivity is lower than conventional oxygen diffusion based electrolytes, which, however, operate at considerable higher temperatures (600°C - 900°C). Search for strategies to enhance proton conductivity at lower temperatures is therefore an ongoing quest. We found that the activation energy for proton transport in some proton conductors decreases when the crystallographic unit cell volume increases [Chen 2010, Duval 2008] - in contrast to findings in a computer simulation [Marx 2006]. These contrasting observations triggered our curiosity about the physical-chemical origin of the relationship between proton diffusivity and available lattice space. In a dedicated SNF project [Braun 2009], we then found that the proton conductivity originates from lattice dynamics based proton-phonon coupling with a Holstein-type polaron characteristic (awarded with the Swiss Neutron Society Young Investigator Award 2014 [Ronnow 2014]). This outcome resulted from experimental studies on “bulky” proton conductors where we parameterized specific observations by applying external compressive strain. Extrapolation from compressive to tensile strain, as we have suggested [Chen 2010] for epitaxial strained proton conductor films should have a low activation barrier at intermediate temperatures and maybe outperform contemporary proton conductor architectures. Our suggestion of higher proton conductivity in tensile strained films, which I submitted to the SNF two times in vain (200021_156099 April 2014 and 200021_159947 October 2014) remained speculation until recent experimental verification found by a group at PSI in Switzerland [Fluri 2017]. The purpose of this new proposal is therefore to extend the original “bulk” material to epitaxial strained films, and assess their structure and transport properties and solidify our proton polaron hypothesis [Braun 2017a]. This experimental research project aims at elucidating the effect of epitaxial strain on vibronic properties, lattice dynamics on the proton conductivity of thin film single crystal or highly oriented metal oxides relevant for energy applications, in particular with view of their application as membranes. We quantify the epitaxial strain of thin films and attempt to correlate it with proton transport and vibronic properties. We comprehend the structure-property relationship by looking at the electronic structure of the strained films with valence band photoemission spectroscopy and/or x-ray absorption spectroscopy at the oxygen K-edge, which probes the valence band. At best, we can parameterize Holstein’s polaron model with the strain parameter e. The requested funds are for the support of a project, which employs one postdoctoral researcher at Empa and supplements the expenses at the partners of the PIs in California and in Shanghai.Solid state ionic conductors play an important role in renewable energy storage and conversion. Efficient ionic conductivity in solids requires typically a high device operation temperature so as to overcome kinetic activation barriers. This projects aims at developing epitaxial thin film strategy in order to expand the crystal lattice of ceramic proton conductors so as to lower the proton transport activation energy and obtain, in the best case, a proton conductor which can operate at ambient temperature.We all know that electrons are charge carriers in electric devices. As same as important are the ionic charge carriers, which are the counterpart to electrons in batteries, fuel cells and electrolyzers. The ionic charge carriers move between the electrodes in the so-called electrolyte, which often is a liquid. One class of electrochemcial energy storage devices and energy converters uses solid electrolytes. One disadvantage of solid electrolytes is that they have a high resistance. The resistance only becomes lower when the temperature of the electrolyte is raised considerably, up to 1000°C.It is therefore of technological interest to find strategies to lower the operation temperature. Solid electroyltes are typically used in solid oxide fuel cells, where temperatures from 700°C to 1000°C are applied. In these, the ionic species which carries the current through the electrolyte is oxygen ions or oxygen vacancies. When protons are used as charge carriers, the operation temperature of the ceramic fuel cell, or electrolzyer, can be lowered to 450°C.It would be worthwhile to further lower the operation temperature so that no heat would be necessary to allow the fuel cell to work. We have recently shown in an SNF project that the activation energy barrier for proton transport in ceramic electrolyte membranes can be increased by compacting the proton conductor by external compressive strain.In this new project, we will try to apply tensile strain to the proton conductors to check whether the operation temperature for proton transport can be lowered. The technical trick to make this possible is based on epitaxial film technology, which is well-known in semiconductor technology.We want to be the first group to show that epitaxial strained films have a substantially lower activation energy than the corresponding bulk materials.; solid state electrochemistry; proton conductor; membrane; polaron; epitaxial strain; solid electrolyte",1,0,Non-collaborative,2,1,More than one discipline,20400,20300,NA,NA,NA,NA
184408,07,Fellowships,2018,Other,Condensed Matter Physics,Physics,Careers,78400,TRUE,Free energy estimation for assisting in silico design of materials,Free energy methods; in silico material design; Machine-learning techiniques; Energy materials; Statistical physics,"The main objective of this project is to develop and apply a method to predict the relative thermodynamic stabilities of novel materials at a density-functional-theory (DFT) level of theory, in order to assist in silico material design. This is rendered possible by exploiting advances in machine-learning techniques to circumnavigate the prohibitively large computational expenses otherwise incurred by extensively sampling phase-space using first-principles methods, and employing state-of-the-art free energy estimation techniques in order to accurately and rigorously compute the Gibbs free energy of a given system.  The methodology will be general and transferable, and will be applied to investigate free-energy-related problems of three classes of materials: water, photovoltaic perovskites, and new energy-storage materials.; Free energy methods; in silico material design; Machine-learning techiniques; Energy materials; Statistical physics",1,0,Non-collaborative,2,1,More than one discipline,20400,20300,NA,NA,NA,NA
180006,07,Ambizione,2018,Cantonal university,Economics,"Economics, law",Careers,781941,TRUE,"Peer Effects, Environmentalism and Renewables’ Spread II (PEERS II)",Climate policy; Pro-environmental behavior; Renewable energy; Social contagion; Energy policy; Trust; Cooperation; Peer effects; Solar energy,"Tackling climate change is one of the most important challenges of this century. Increasing the adoption of renewable energy would help reducing greenhouse gas emissions. This project uses a combination of spatial econometrics, social network analysis, survey collection, and randomized controlled trials, to analyze the adoption of renewable energy, the roots of cooperative behavior, and the interaction between the two. This project aims to contribute to the literature on pro-environmental behavior, on cooperation, and on the drivers of, and barriers to, the adoption of renewable energy. It also aims at informing policy-makers on possible avenues to leverage environmental and social preferences to decarbonize the economy, a very valuable solution in a policy environment in which subsidies for renewable energy are being phased out, and a generalized use of carbon pricing is yet to be phased in.; Climate policy; Pro-environmental behavior; Renewable energy; Social contagion; Energy policy; Trust; Cooperation; Peer effects; Solar energy",1,0,Non-collaborative,2,1,More than one discipline,10700,20700,NA,NA,NA,NA
